ID,Category,Title,Description,Amenities,Location,guests,beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count,url,bedrooms,
f9dcbd09-32ac-41d9-a0b1-fdb2793378cf,Treehouses,Red Kite Tree Tent - Ynys Affalon,"['About this space', ""Escape to one of these two fabulous Tree Tents. Suspended high above the canopy, it’s time to appreciate life from a new perspective. Featured on George Clarke’s Amazing Spaces, these Tree Tents are a feat of aviation technology. Tree Tent comes complete with fire pit, outdoor kitchen and shower with hot water. You’ll discover a comfortable bed and cosy wood burning stove. Part of the Red Kite Estate, along with our barn and its sister tree tent, the first ever built in the UK, Dragon's Egg."", 'The space', 'The space\nThe true joy of this place is how wonderfully simple it is (aviation technology aside). Days are filled with fireside discussions, wildlife watching and stunningly beautiful walks. With the nearest mobile signal a ten minute walk away, it’s a great place to ditch the digital and truly escape. Head over the bridge to your own private deck that happily houses a clever outdoor-kitchen and shower (complete with hot water). It’s the perfect spot to fry up breakfast whilst basking in peace and tranquility. There is also a flushing toilet situated just up the hill.And don’t worry, you’re not totally left to your own devices, on arrival you can expect bed linen, towels and a load of dry wood and kindling. If you feel the need to leave your new found homestead in the trees then the local area has lots of suitably chilled things to do. Head out on a moorland walk to take in some magical views - and perhaps even grab a pint at the local pub en route. Further afield, the stunning Elan Valley, a landscape bursting with impressive dams and reservoirs, is well worthy of an explore. And for those needing supplies - and perhaps a flat white - then the friendly market town of Builth Wells is just down the road.', '', '', '', 'Other things to note\nYou are entering a remote woodland hideaway for a digital detox: there is very patchy mobile signal and limited internet connectivity.']","['What this place offers', 'Bathroom', 'Shampoo', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Parking and facilities', 'Free parking on premises', 'Services', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer']",Llandrindod Wells United Kingdom,2,1,1,105,4.6,4.7,4.3,5,4.3,4.3,13,https://www.airbnb.co.uk/rooms/26620994?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-19&check_out=2022-03-26&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,,
1b4736a7-e73e-45bc-a9b5-d3e7fcf652fd,Treehouses,Az Alom Cabin - Treehouse Tree to Nature Cabin,"['About this space', ""Come and spend a romantic stay with a couple or family, on the Domaine de l 'Arbre in Cabane\n\nA very pretty forest of 5 hectares shelters 8 beautiful huts they all have the dream names, unique and unprecedented.\n\nThey are housed in centuries-old trees out of sight, in osmosis with nature.\n\nThe site is preserved, your peace is assured. Nature is everywhere\n\nA treehouse to indulge, relax and go where no one will be looking for you!"", 'The space', 'The space\nCabin perched in trees 8 meters high.\nThis cabin is beautiful. Its access via a board walkway and its platform adjoining 3 individual beds seduce them to the highest degree. It has a capacity of 3 people.', 'Guest access', 'Guest access\nYou will have access to the entire cabin, forest and park.\nSanitary facilities (showers and toilets) are at the reception, a 3-minute walk.', 'Other things to note', 'Other things to note\nAre you ready for an unusual stay?']","['What this place offers', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Host greets you', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Guyonvelle Grand Est France,3,3,0,92,4.3,4.7,4.6,4.9,4.7,4.5,8,https://www.airbnb.co.uk/rooms/27055498?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-06-19&check_out=2022-06-26&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
d577bc30-2222-4bef-a35e-a9825642aec4,Treehouses,"Cabane Entre Les Pins
🌲🏕️🌲","['About this space', 'Rustic cabin between the pines, 3 meters high and 28 square meters on the banks of the Austreberth River 🌲🏕️🌲', 'The space', ""The space\nOur cabin between the pines is a great alternative for those looking for contact with nature and want to rest, enjoy together or have fun with family or friends. With 3 meters high and 28 square meters, it accommodates 4 people. Located on a 1.2 hectare property by the river Austreberthe, our rustic treehouse shares the space with our garden rabbits and dumplings, as well as wild dumplings and our beloved khenty mare, who loves apples and carrots. A tranquil retreat, with efficient thermal insulation and heaters for the colder days. Equipped with a double bed, sofa bed, kitchen , duvet and toilet.\n\n\nWe provide:\nTowels\nBed linens and pillows\nKitchen detergent and bathroom soap\nPaper towels & toilet paper\nCooking utensils\nCoffee, tea, salt and pepper, herbs of provence\nWhat to do in the area's guide\n\nI'll follow us on Instagram @entreespins"", 'Guest access', 'Guest access\nGuests can use the space around the cabin.', 'Other things to note', ""Other things to note\n*When it's windy, the cabin squeaks, but there's nothing to worry about.\n\n*Do not use candles or objects containing a fire inside and outside the cabin as the polyester is flammable.\n\n*Smoking outside only please.\n\n*Our dear pets are allowed but with the commitment of their guardian not to leave them on the bed and furnishing fabrics, as well as being responsible for their waste.\n\n*Pine needles often fall on the balcony, which doesn't mean the space hasn't been cleaned.\n\n*As this is literally a house between the trees, it is common that there are insects and cobwebs outside but with the door closed it will prevent them from entering the cabin.\n\n*With the arrival of the cold season, we see that the internal temperature is between 15 and 18 degrees.\n\n*Check-out time must be respected so as not to change the arrival time of the next guest.""]","['What this place offers', 'Scenic views', 'Garden view', 'River view', 'Bathroom', 'Cleaning products', 'Cien body soap', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Cotton linen', 'Extra pillows and blankets', 'Clothes storage: wardrobe and chest of drawers', 'Entertainment', 'Suitable for events', 'The listing can accommodate a gathering of 25 or more attendees', 'Family', 'Children’s tableware', 'Table corner guards', 'Heating and cooling', 'Portable heater', 'Radiant heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Mini fridge', 'Dishwasher', 'Stainless steel cooker', 'Kettle', 'Coffee maker: filter coffee maker', 'Wine glasses', 'Baking sheet', 'Rice cooker', 'Waste compactor', 'Barbecue utensils', 'Grill, charcoal, bamboo skewers/iron skewers, etc.', 'Coffee', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Free resort access', 'Guests can use nearby resort facilities', 'Outdoor', 'Private patio or balcony', 'Private backyard – Fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill: electric', 'Kayak', 'Parking and facilities', 'Free parking on premises', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Smoking allowed', 'Self check-in', 'Lockbox', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'Host has indicated that no carbon monoxide detector is necessary. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Duclair Normandie France,4,2,1.5,52,4.2,4.6,4.8,4.8,4.8,4.7,51,https://www.airbnb.co.uk/rooms/51427108?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-10-03&check_out=2022-10-10&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
ca9cbfd4-7798-4e8d-8c17-d5a64fba0abc,Treehouses,Tree Top Cabin with log burner & private hot tub,"['About this space', 'The Tree top cabin is situated in our peaceful woodland in the heart of Snowdonia. It has a shower (hot water included)and w.c and washbasin (no hot water in the washbasin).\nLighting is provided from a 12v solar panel system.\nA log burner is provided with free wood.\nThere is a double bed.\nThe private wood fired hot tub is situated on a balcony overlooking the woodland area.\nPet friendly.\nOutside seating is provided.', 'The space', 'The space\nThis unique glamping experience has everything you need for a restful and idyllic break from everyday life. Wake up to bird song and the sound of the stream. Enjoy your own exclusive hot tub whilst sipping a glass of bubbly. Our Cabin is fully insulated and has everything you need for that perfect ""rustic"" getaway without compromising on quality and convenience.\n\nALL bedding and towels are included in your stay. You may like to bring extra towels for hot tub usage.\n\nA small log burner inside to keep you nice and cosy.\n\nThere is limited telephone signal.', '', '']","['What this place offers', 'Bathroom', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Bed linen', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Kettle', 'Coffee maker', 'Wine glasses', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Outdoor dining area', 'Parking and facilities', 'Free parking on premises', 'Hot tub', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Barmouth Wales United Kingdom,2,,1,132,4.8,4.9,4.9,4.9,5,4.6,23,https://www.airbnb.co.uk/rooms/49543851?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-05-20&check_out=2022-05-27&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,,
8b2d0f78-16d8-4559-8692-62ebce2a1302,Treehouses,Hanging cabin,"['About this space', 'Feel refreshed at this unusual place nestled in the heart of nature. Let yourself be lulled in this cozy retreat, which can be reached by a suspension bridge.', 'The space', 'The space\nA real nest to try solo or as a duo. Breakfast is included. Access to a full bathroom in our nearby gite.', 'Guest access', 'Guest access\nFree parking on site.', 'Other things to note', 'Other things to note\nPossibility of booking the outdoor pool in summer for €15']","['What this place offers', 'Heating and cooling', 'Portable heater', 'Outdoor', 'Outdoor dining area', 'Parking and facilities', 'Free parking on premises', 'Pool', 'Services', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'This place may not have a smoke detector. Contact the host with any questions.', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Wargnies-le-Petit Hauts-de-France France,2,1,,111,,,,,,,5,https://www.airbnb.co.uk/rooms/50166553?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-17&check_out=2022-04-24&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
cfe479b9-c8f8-44af-9bc6-46ede9f14bb5,Treehouses,Treehouse near Paris Disney,"['About this space', 'Charming cabin nestled in the leaves, real unusual and cozy house in the trees with all the modern comforts, just 45 minutes from Paris, 28 km from Disneyland or Provins and 5 minutes from the Parc des Félins. This cozy nest awaits you year-round for an unusual romantic or family experience. A parenthesis of relaxation and relaxation, ideal to offer yourself or yourself. See you soon :)', 'The space', ""The space\nLa Cabane Perchée de Chambonnière awaits you over the seasons and offers a comfortable and cozy setting amidst the trees, the opportunity to escape from everyday life during a romantic stay with two or family, for one or more nights.\n\nYou will be seduced by this treehouse full of charm with neat decoration.\n- Access by gentle slope, ideal for welcoming you easily.\n- Charming living room with bioethanol fireplace (only in cold weather and exclusively for couples or families with children over 7 years old)\n- Fully equipped kitchen.\n- Double bedroom + 1 bedroom with 2 single beds upstairs\n- Shower room with shower and real toilet\n- Magnificent private terrace of 36m² with garden furniture and deckchair.\n\n\nThis cozy nest in the trees offers all the modern comforts (electricity, heating, bathroom with toilet and standard shower, flat screen TV, and a kitchenette with multifunction oven, refrigerator, hob, wifi internet access...). For your arrival, all beds are made.\n\nThe shack perched in chambonnière is ideally located to allow you to discover the charms of the Seine and Marne and the Champagne region:\n> the Parc des Félins,\n> the medieval city of Provins with magnificent equestrian and falconry shows in season,\n> Disneyland Paris & La Vallée Village 25mn,\n> the castles of Vaux le Vicomte, Blandy les Tours and Fontainebleau\n> and for the most sporty (depending on the season):\n- tree climbing,\n- paintball,\n- karting and other motor sports.\n> You'll also have a chance to go for nice walks around on foot or by mountain bike and tennis in the village.\n\nA parenthesis of relaxation and relaxation, ideal to offer yourself or yourself .\n\nLooking forward to welcoming you…\n\n\nThe rates shown in the calendar are for 2 people. Rates for 4 people are calculated automatically when booking\n\nA surcharge may be charged if the general condition rendered is indecent."", 'Other things to note', ""Other things to note\nThe owners reserve the right to cancel your stay at the hut if the weather conditions are very bad, whether they are known a few days before, or even on the day of arrival, whether you are already on the road or already arrived on site, or during your stay (weather alert, severe weather events, strong wind, storm, thunderstorm). If this happens, we'll try to relocate you to other types of accommodation nearby, subject to availability and at no extra charge. If we do not have a relocation solution available, and in this case only, you will be offered a date extension at the choice of the owners or you will receive a 50% discount on a next equivalent stay in a cabin in the current 12 months. In any case, no compensation or reimbursement can be claimed.""]","['What this place offers', 'Bathroom', 'Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Entertainment', 'TV', 'Family', 'Travel cot', 'Children’s books and toys', 'High chair', 'Fireplace guards', 'Heating and cooling', 'Indoor fireplace', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Pocket wifi', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Coffee maker', 'Baking sheet', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Parking and facilities', 'Free parking on premises', 'Services', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Breakfast', 'Breakfast is provided', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.']",Le Plessis-Feu-Aussoux Île-de-France France,4,3,1,143,5,4.9,5,4.7,5,4.7,32,https://www.airbnb.co.uk/rooms/935398?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-27&check_out=2022-04-03&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,2,
93b1bfb4-67e7-4d70-9d84-b5e24f820d8c,Treehouses,Lake huts - treehouses,,"['What this place offers', 'Bathroom', 'Hair dryer', 'Heating and cooling', 'Portable heater', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Services', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo', 'Unavailable: Private entrance\nPrivate entrance']",Giffaumont-Champaubert France,3,2,,101,4.7,4.7,4.8,4.8,4.7,4.3,6,https://www.airbnb.co.uk/rooms/24408892?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-02&check_out=2022-04-09&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
9033002f-5ff2-45df-af91-ef1594ac353f,Treehouses,luxourious Treehouse/lodge,"['About this space', 'our tree house / lodge is an ideal base for visits to the Efteling, Beekse Bergen, Tilburg, Breda and much more ..\nthe lodge is equipped with a rain shower, separate toilet, kitchenette, fridge, dining area and sitting area and 3 beds on the loft. next to it is the corresponding tree house with 3 beds.', 'The space', 'The space\nin the tree house you imagine yourself in the top of the trees in the wonderful nature.\nthe beds have 7-zone pocket spring mattresses, a down duvet and wonderful pillows.', 'Guest access', 'Guest access\nyou are the only guests in the treehouse', 'Other things to note', ""Other things to note\nwe dont allow pets, smoking and party's. swimming pool available 15may-15 september""]","['What this place offers', 'Bathroom', 'Cleaning products', 'Hot water', 'Bedroom and laundry', 'Dryer', 'Bed linen', 'Clothes storage', 'Entertainment', '32"" HDTV with standard cable/satellite', 'Ping pong table', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Freezer', 'Stove', 'Kettle', 'Coffee maker', 'Wine glasses', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Launderette nearby', 'Outdoor', 'Private patio or balcony', 'Private backyard – Not fully fenced', 'An open space on the property usually covered in grass', 'Outdoor dining area', 'Bikes', 'Parking and facilities', 'Free parking on premises', 'Shared pool', 'Services', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Cleaning before checkout', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",Rijen Noord-Brabant Netherlands,6,5,1,94,4.2,4.4,4.6,4.3,4.8,4.3,31,https://www.airbnb.co.uk/rooms/38786954?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,2,
59705407-dc9b-444f-b0b0-afc472ca7c7f,Treehouses,rooftop cabin with private hot tub,"['About this space', 'The Domaine proposes to make you live a unique experience in a beautiful place where a perched hut is set up to guarantee absolute privacy to really feel ""out of time"" to recharge your batteries cut off from civilization.\nA private outdoor uncovered Jacuzzi awaits you', 'The space', 'The space\nLuxury and nature the hut perched 100% comfort : heating, toilet, shower.\nAn outdoor Jacuzzi not covered for 3 people\nA monkey bridge, easy to reach by stairs is open to all without age limit and will please children.\nPerched 5 meters high, close to the pond which guarantees a unique charm.\nwith a view of the pond.\nBreakfast not included but you can bring yours (nespresso available in the cabin)\nOffice available microwave, fridge and dishes on request', 'Guest access', 'Guest access\nentire accommodation\nbarbecue in the park on request', 'Other things to note', 'Other things to note\nthe site lends itself to weddings if necessary the cottage will not be available']","['What this place offers', 'Scenic views', 'Lake view', 'Park view', 'Bathroom', 'Hair dryer', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Clothes storage: wardrobe', 'Entertainment', 'Suitable for events', 'The listing can accommodate a gathering of 25 or more attendees', 'Family', 'Baby safety gates', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Kitchen and dining', 'Coffee maker: espresso machine', 'Location features', 'Waterfront', 'Right next to a body of water', 'Outdoor', 'Private patio or balcony', 'Shared backyard – Fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor kitchen', 'Parking and facilities', 'Free parking on premises', 'Free on-street parking', 'Private hot tub', 'Services', 'Host greets you', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",Maisse Île-de-France France,4,3,,247,4.9,4.8,4.8,4.6,4.9,4.4,24,https://www.airbnb.co.uk/rooms/27255597?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,1,
3f063cb3-b39c-46ce-b417-059e71a6beb9,Treehouses,Lodge Gregan,"['About this space', 'Our lodges are pretty eco-chalets equipped with 2 bedrooms, bathroom, kitchen and living room. Their covered terrace will allow you to make the most of breakfast or aperitif because the luxury here is space and nature !\nFor a week or more, treat yourself to a breath of fresh air in this nature hotel, unique in southern Brittany!', 'The space', 'The space\nDihan (break in Breton) is a very natural cocktail of history, unusual,\ntravel, and love of Brittany.\n\nA few kilometers from the sea, between Carnac and Quiberon peninsula, this\noriginal structure, the first unusual European ecolabel site, precursor of nights in huts in the trees is an ecolodge born from the old family farm.\n\nSince then, many unusual accommodations have gradually nestled on our 25-hectare estate in Ploemel.\n\nTreehouses, yurts, hobbit houses... Get ready for an out-of-time experience, where vegetation is king ! Here, you can light up with a candle and a dynamo lamp and forget about your mobile phone...\nWith a space dedicated to relaxation, enjoy our hamman, sauna and massages from around the world.\n\nOn the catering side, breakfasts are served in baskets and hoisted in huts perched thanks to a system of pulleys. In the evening, meal baskets are available, upon reservation. For a friendly moment with family or friends, head to the Café Lounge area located on the terrace of our wooden pool and enjoy our snacks made in Breizh products.']","['What this place offers', 'Bedroom and laundry', 'Hangers', 'Heating and cooling', 'Heating', 'Home safety', 'Fire extinguisher', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Parking and facilities', 'Free parking on premises', 'Pool', 'Sauna', 'Services', 'Cleaning before checkout', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Wifi\nWifi', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Hair dryer\nHair dryer', 'Unavailable: Essentials\nEssentials', 'Unavailable: Smoke alarm\nSmoke alarm', 'This place may not have a smoke detector. Contact the host with any questions.', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.', 'Unavailable: Shampoo\nShampoo']",Ploemel Bretagne France,5,4,1,155,,,,,,,11,https://www.airbnb.co.uk/rooms/53002981?adults=1&category_tag=Tag%3A8188&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=eebf9d56-f119-426a-b39b-9d89928069dc,2,
